"MATERIAL BASICO","UNIDAD DE OBRA",SUBCAPITULO,CAPITULO
CODIGO,ud,"NOMBRE MATERIAL",CANTIDAD,PRECIO,IMPORTE,CODIGO,ud,NOMBRE,CANTIDAD,CODIGO,NOMBRE,CODIGO,NOMBRE
P01LA021,m,"Armad. Murfor RND.4/Z-80",18.1632,E07LP021,m2,"FÁB.LADRILLO PERFORADO 10cm 1/2P.+MURFOR MORTERO M-7,5",26.4," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01LA250,u,"Gancho Murfor LHK/S/84",18.48,E07LP021,m2,"FÁB.LADRILLO PERFORADO 10cm 1/2P.+MURFOR MORTERO M-7,5",26.4," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01LG050,u,"Rasillón cerámico 40x20x4 cm",1049.5325,E07TLA040,m2,"TABIQUE RASILLÓN 40x20x4cm INT.MORT.M-5",79.21," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01LH025,mu,"Ladrillo hueco doble métrico  24x11,5x9 cm",1.7325,E07TLB040,m2,"TABICÓN LHD 9cm INT.MORTERO BASTARDO BLANCO",49.5," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01LT010,mu,"Ladrillo perforado tosco 24x11,5x10 cm",1.0032,E07LP021,m2,"FÁB.LADRILLO PERFORADO 10cm 1/2P.+MURFOR MORTERO M-7,5",26.4," "," ",E07#,"CERRAMIENTOS Y DIVISIONES"
P01LT010,mu,"Ladrillo perforado tosco 24x11,5x10 cm",2.18424,E07LP040,m2,"FÁB.LADRILLO PERFORADO 10cm 1P. INTERIOR MORTERO M-5",28.74," "," ",E04#,CIMENTACIONES
P01LT010,mu,"Ladrillo perforado tosco 24x11,5x10 cm",16.32176,E07LP040,m2,"FÁB.LADRILLO PERFORADO 10cm 1P. INTERIOR MORTERO M-5",214.76," "," ",E05#,ESTRUCTURAS
P01LT020,mu,"Ladrillo perforado tosco 24x11,5x7 cm",0.336,E03ALA010,u,"ARQUETA LADRILLO PIE/BAJANTE 38x38x50cm",6," "," ",E03#,"RED DE SANEAMIENTO"
P01LT020,mu,"Ladrillo perforado tosco 24x11,5x7 cm",0.392,E03ALR020,u,"ARQUETA LADRILLO REGISTRO 38x38x50 cm",7," "," ",E03#,"RED DE SANEAMIENTO"
P01LT020,mu,"Ladrillo perforado tosco 24x11,5x7 cm",0.17,E03ALR040,u,"ARQUETA LADRILLO REGISTRO 51x51x65 cm",2," "," ",E03#,"RED DE SANEAMIENTO"
P01LT020,mu,"Ladrillo perforado tosco 24x11,5x7 cm",0.25,E03ALR060,u,"ARQUETA LADRILLO REGISTRO 63x63x80 cm",2," "," ",E03#,"RED DE SANEAMIENTO"
P01LT020,mu,"Ladrillo perforado tosco 24x11,5x7 cm",0.016,E09ISB020,u,"REMATE CHIMENEA P/FÁBRICA REVEST.",2," "," ",E09#,CUBIERTAS
P01MC040,m3,"Mortero cem. gris II/B-M 32,5 M-5/CEM",0.138,E03ALA010,u,"ARQUETA LADRILLO PIE/BAJANTE 38x38x50cm",6," "," ",E03#,"RED DE SANEAMIENTO"
P01MC040,m3,"Mortero cem. gris II/B-M 32,5 M-5/CEM",0.161,E03ALR020,u,"ARQUETA LADRILLO REGISTRO 38x38x50 cm",7," "," ",E03#,"RED DE SANEAMIENTO"
